;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;n1;n2;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;tau_X;tau_N;target_north_from_observer;target_east_from_observer
2024-03-22_12:23:31:355225;59.908151483333334;10.719238266666666;0.0;59.908151483333334;10.719238266666666;0.0;1711106611.3528912;164.53;1.111718955693267;0.76;-3.22;2.6;163.488;-3.217;1.865;8.56;59.908146216666665;10.7192148;0.0;0.6851761733463858;1.2599110746298612;1.620385175482575e-07;717.1628759653253;116.99148874815056;-17.44517617334637;-4.779911074629862;18.088165235878986;-2.8741599551080936;2.8534038875004897;64.15622684816545;24.0278994249634;-16.839999999999982;-3.680000000000001
2024-03-22_12:23:31:454321;59.908151483333334;10.719238266666666;0.0;59.908151483333334;10.719238266666666;0.0;1711106611.4526868;168.465;0.0;0.76;-2.41;2.633;164.368;10.483;-0.994;7.165;59.908146216666665;10.7192148;0.0;0.5867633859198007;1.3130679794449822;1.621712728550051e-07;718.9890191375491;114.8033428665307;-17.426763385919784;-4.993067979444984;18.127956585235776;-2.8625508070895687;2.8687627849180397;64.41326240565213;24.178114471704063;-16.91999999999998;-3.840000000000001
2024-03-22_12:23:31:554410;59.908150383333336;10.719239016666666;0.0;59.908150383333336;10.719239016666666;0.0;1711106611.5527825;173.295;1.2941744355052944;0.76;-0.112;2.17;165.586;14.74;-4.217;8.314;59.908146216666665;10.7192148;0.0;0.5867633859198007;1.3130679794449822;1.621712728550051e-07;713.2489739760354;168.57199703381986;-17.506763385919783;-5.153067979444984;18.24940749315886;-2.8553298857148235;2.8900208952073307;65.2656984573151;23.052261268979827;-16.99999999999998;-4.000000000000001
2024-03-22_12:23:31:654713;59.908150383333336;10.719239016666666;0.0;59.908150383333336;10.719239016666666;0.0;1711106611.6529217;174.473;0.0;0.76;0.361;1.987;165.938;11.745;-4.535;8.858;59.908146216666665;10.7192148;0.0;0.46421160247350296;1.355033975302872;1.6084499002144703e-07;727.108424206719;89.37950020830496;-17.464211602473483;-5.355033975302873;18.26677518810087;-2.844065345698218;2.8961644541743503;65.2091664940568;24.990789288550165;-17.079999999999977;-4.160000000000001
2024-03-22_12:23:31:754803;59.90814901666667;10.719239433333334;0.0;59.90814901666667;10.719239433333334;0.0;1711106611.7530181;173.208;1.5389189866593418;0.76;1.075;1.272;167.424;-0.845;-3.603;9.51;59.908146216666665;10.7192148;0.0;0.46421160247350296;1.355033975302872;1.6084499002144703e-07;712.5140621095928;192.7356941314656;-17.54421160247348;-5.515033975302873;18.390621536563415;-2.8370226911623595;2.9221000468589864;66.19919340074597;22.58295190868762;-17.159999999999975;-4.320000000000001
2024-03-22_12:23:31:854955;59.90814901666667;10.719239433333334;0.0;59.90814901666667;10.719239433333334;0.0;1711106611.853114;168.489;0.0;0.76;0.922;1.169;167.788;-3.65;-2.519;9.267;59.908146216666665;10.7192148;0.0;0.31195028754503273;1.3783484500070007;1.5710703205051857e-07;728.1667903670675;115.11181389118735;-17.47195028754501;-5.698348450007002;18.37770992012175;-2.8263275994244985;2.928453045336246;66.03567913737504;24.812161292060207;-17.239999999999974;-4.480000000000001
2024-03-22_12:23:31:955248;59.9081475;10.71923985;0.0;59.9081475;10.71923985;0.0;1711106611.9532707;165.262;1.7031122562658336;0.76;-0.619;1.197;169.149;-11.748;1.546;8.518;59.908146216666665;10.7192148;0.0;0.31195028754503273;1.3783484500070007;1.5710703205051857e-07;715.6270040684344;198.01328774016721;-17.551950287545008;-5.858348450007002;18.50381597017628;-2.819447407621737;2.9522069764558885;66.9899451745194;22.69734777371867;-17.319999999999972;-4.6400000000000015
2024-03-22_12:23:32:055060;59.9081475;10.71923985;0.0;59.9081475;10.71923985;0.0;1711106612.053299;166.316;0.0;0.76;-1.104;1.291;169.477;-12.281;2.203;8.351;59.908146216666665;10.7192148;0.0;0.14297736287354526;1.4016629329075576;1.5502498341285476e-07;730.5415844068709;125.21918406239226;-17.462977362873517;-6.041662932907559;18.47856242706943;-2.808512707267965;2.95793165640243;66.7517427241846;24.861836743709645;-17.39999999999997;-4.800000000000002
2024-03-22_12:23:32:350182;59.908144666666665;10.719241316666666;0.0;59.908144666666665;10.719241316666666;0.0;1711106612.347483;175.171;1.1086917612199363;0.76;-2.1;2.006;172.252;6.542;0.779;5.312;59.908146216666665;10.7192148;0.0;0.14297736287354526;1.4016629329075576;1.5502498341285476e-07;716.8490461892966;220.70576756650763;-17.542977362873515;-6.201662932907559;18.606898663874432;-2.801792033631336;3.006364543145273;68.35716725151472;22.325329233916186;-17.47999999999997;-4.960000000000002
2024-03-22_12:23:32:448378;59.908144666666665;10.719241316666666;0.0;59.908144666666665;10.719241316666666;0.0;1711106612.4473166;175.226;0.0;0.76;-1.756;2.051;172.43;8.359;0.922;4.609;59.908146216666665;10.7192148;0.0;-0.17268632550083954;1.483729817898343;1.7436172575213682e-07;735.1000020249485;120.55403359400776;-17.307313674499127;-6.443729817898345;18.467938720755402;-2.785180196771987;3.0094712292138226;67.42420894665379;25.237519581352704;-17.559999999999967;-5.120000000000002
2024-03-22_12:23:32:775053;59.90814133333333;10.719242166666668;0.0;59.90814133333333;10.719242166666668;0.0;1711106612.7015903;176.032;1.4724522593651932;0.76;0.117;2.651;173.881;1.919;1.692;7.435;59.908146216666665;10.7192148;0.0;-0.17268632550083954;1.483729817898343;1.7436172575213682e-07;724.534194706298;196.14173691623114;-17.387313674499126;-6.603729817898345;18.599137730637516;-2.7786190077191453;3.0347959566602603;68.45896351973173;23.34841972429067;-17.639999999999965;-5.280000000000002
2024-03-22_12:23:32:825998;59.90814133333333;10.719242166666668;0.0;59.90814133333333;10.719242166666668;0.0;1711106612.8246765;176.484;0.0;0.76;0.075;2.631;174.555;-1.88;-0.85;8.742;59.908146216666665;10.7192148;0.0;-0.5440553900507972;1.531291392324083;2.0828100436021124e-07;730.9699853816891;146.00621202945592;-17.095944609949168;-6.811291392324085;18.402853380321165;-2.7624528660116274;3.046559475818702;67.512865102673;24.621293725779005;-17.719999999999963;-5.440000000000002
