;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;n1;n2;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;tau_X;tau_N;target_north_from_observer;target_east_from_observer
2024-03-22_12:42:33:772637;59.907454916666666;10.717788833333334;0.0;59.907454916666666;10.717788833333334;0.0;1711107753.7708354;61.44;1.1597579946691083;0.74;-0.132;-3.51;100.262;-1.143;-14.115;-7.237;59.90744566666667;10.71776035;0.0;0.9711303508287142;1.4940191710046826;2.4817031862856e-07;157.1612874560839;157.1612874560839;3.936586594969876;0.4250446648183044;3.95946675535823;0.10755622127348965;1.7499020146345547;6.002306215350442;0.0;4.90771694579859;1.919063835822987
2024-03-22_12:42:33:872968;59.907454916666666;10.717788833333334;0.0;59.907454916666666;10.717788833333334;0.0;1711107753.8710043;60.95;0.0;0.74;-0.039;-4.067;99.734;3.075;-0.696;-5.222;59.90744566666667;10.71776035;0.0;1.030549439295834;1.593806942852872;2.817070405281008e-07;153.03510344662087;153.03510344662087;3.8652829685382724;0.4447839428763074;3.8907897890675915;0.11456760156991434;1.7406866761840245;5.691269022128223;0.0;4.8958324078341064;2.0385908857291795
2024-03-22_12:42:33:972789;59.90745536666667;10.71779045;0.0;59.90745536666667;10.71779045;0.0;1711107753.9710233;60.95;1.0340863288937556;0.74;0.546;-3.622;99.235;6.012;7.404;-3.071;59.90744566666667;10.71776035;0.0;1.030549439295834;1.593806942852872;2.817070405281008e-07;155.54766461741303;155.54766461741303;3.8526813456714297;0.5642323412497134;3.8937785872076436;0.14541808886285673;1.7319774832165729;5.879683949102799;0.0;4.883230784967264;2.1580392841025855
2024-03-22_12:42:34:072937;59.90745536666667;10.71779045;0.0;59.90745536666667;10.71779045;0.0;1711107754.0711172;68.76;0.0;0.74;1.077;-2.618;99.095;6.141;16.136;-1.269;59.90744566666667;10.71776035;0.0;1.0806843008683888;1.6842687535826246;3.1430345859284614e-07;151.76757216225369;151.76757216225369;3.7892275737924477;0.5931425165247979;3.8353700800442154;0.15527385014518588;1.729534022263781;5.597382240047059;0.0;4.869911874660836;2.2774112701074225
2024-03-22_12:42:34:173027;59.9074556;10.717792166666667;0.0;59.9074556;10.717792166666667;0.0;1711107754.171214;68.76;0.9941885213321467;0.74;1.775;0.287;98.986;2.194;19.457;-0.987;59.90744566666667;10.71776035;0.0;1.0806843008683888;1.6842687535826246;3.1430345859284614e-07;154.1795147581753;154.1795147581753;3.7751917622440123;0.7124343499160144;3.841827110198389;0.186521180611326;1.7276316133791072;5.776707009774758;0.0;4.855876063112401;2.396703103498639
2024-03-22_12:42:34:273365;59.9074556;10.717792166666667;0.0;59.9074556;10.717792166666667;0.0;1711107754.2713802;77.77;0.0;0.74;1.752;1.071;98.961;-2.306;18.91;-1.236;59.90744566666667;10.71776035;0.0;1.1066801783124318;1.7803261507325245;3.4458547981675025e-07;151.92179199050113;151.92179199050113;3.734443930352557;0.735582055969968;3.806199210500162;0.1944826338289243;1.7271952810661084;5.608763668939354;0.0;4.841124108664989;2.5159082067024925
2024-03-22_12:42:34:372953;59.907455766666665;10.717793916666666;0.0;59.907455766666665;10.717793916666666;0.0;1711107754.3713443;77.77;0.9970545519493011;0.74;1.109;3.123;98.837;-7.792;15.271;-1.546;59.90744566666667;10.71776035;0.0;1.1066801783124318;1.7803261507325245;3.4458547981675025e-07;154.59812980942382;154.59812980942382;3.718977237173276;0.8546896070565297;3.8159253157030495;0.2258959584556397;1.7250310727936355;5.8081184378390365;0.0;4.825657415485708;2.6350157577890543
2024-03-22_12:42:34:473538;59.907455766666665;10.717793916666666;0.0;59.907455766666665;10.717793916666666;0.0;1711107754.4715643;74.88;0.0;0.74;-0.47;4.242;98.611;-14.66;6.28;-1.953;59.90744566666667;10.71776035;0.0;1.1252486778672075;1.878248742512465;3.7621677040355905e-07;152.96294167242863;152.96294167242863;3.684225346601637;0.8757917208602355;3.7868889002543082;0.23338230714459202;1.7210866286841284;5.685902995217271;0.0;4.8094740244688445;2.7540404633727005
2024-03-22_12:42:34:573576;59.90745605;10.717795683333334;0.0;59.90745605;10.717795683333334;0.0;1711107754.5716662;74.88;1.036700361025002;0.74;-1.796;4.291;98.44;-16.63;-0.831;-2.06;59.90744566666667;10.71776035;0.0;1.1252486778672075;1.878248742512465;3.7621677040355905e-07;155.94017860038596;155.94017860038596;3.6673272247028565;0.9947182153557916;3.7998359571180655;0.26486528382694874;1.718102115663218;5.909395356637629;0.0;4.792575902570064;2.8729669578682566
2024-03-22_12:42:34:673509;59.90745605;10.717795683333334;0.0;59.90745605;10.717795683333334;0.0;1711107754.6716874;68.87;0.0;0.74;-3.538;3.495;98.273;-12.274;-8.663;-1.293;59.90744566666667;10.71776035;0.0;1.1568150990445665;1.9771039226711187;4.1146523666046875e-07;153.10793248316563;153.10793248316563;3.6181502946009214;1.0146754275021825;3.757735724807889;0.2734170165164989;1.7151874158123874;5.696687233474134;0.0;4.774965393645488;2.991779350173301
